task_id,trial,passed
51,0,1
26,0,1
25,0,1
68,1,1
68,0,1
40,0,1
60,1,1
65,1,1
24,0,1
17,0,1
57,0,1
26,1,1
24,1,1
70,0,1
69,0,0
88,0,1
70,1,1
61,0,1
33,0,0
40,1,1
84,0,1
18,1,1
48,1,1
25,1,1
51,1,1
77,0,1
53,0,1
14,0,1
73,1,1
73,0,1
75,0,1
85,0,1
17,1,1
60,0,1
15,0,1
85,1,1
90,0,1
49,0,0
33,1,0
48,0,1
44,0,1
50,0,1
57,1,1
94,0,0
15,1,0
72,0,0
43,0,1
1,0,1
65,0,1
87,0,1
113,0,1
55,1,0
67,0,1
53,1,1
75,1,1
66,1,1
2,0,1
44,1,1
72,1,0
43,1,1
67,1,1
81,0,1
14,1,1
86,0,1
34,1,0
97,0,1
9,0,1
3,0,1
13,0,1
66,0,1
59,1,1
10,1,1
47,1,1
93,0,0
10,0,1
78,1,1
56,0,1
64,1,0
82,0,0
80,1,1
39,1,1
61,1,0
16,0,1
45,1,1
50,1,1
11,0,1
18,0,0
106,0,0
12,0,1
71,1,0
59,0,0
34,0,0
45,0,1
0,0,1
64,0,1
46,1,1
12,1,1
108,0,1
92,0,1
82,1,0
0,1,1
39,0,1
1,1,0
63,0,1
16,1,1
84,1,1
9,1,1
81,1,1
63,1,1
47,0,1
89,0,1
54,1,0
19,1,1
46,0,1
83,1,1
54,0,0
2,1,1
13,1,1
95,0,1
79,1,1
58,1,1
3,1,1
58,0,1
22,1,1
41,0,0
83,0,1
79,0,1
77,1,1
62,0,0
88,1,1
52,0,1
52,1,1
56,1,1
31,0,1
80,0,1
93,1,0
6,0,1
69,1,0
49,1,0
5,0,1
74,0,1
21,0,1
42,1,1
62,1,0
32,0,1
7,1,1
76,0,0
8,1,1
29,0,1
102,0,1
36,1,0
8,0,1
21,1,1
35,0,1
6,1,1
94,1,1
91,0,0
28,0,1
17,2,1
27,1,1
27,0,0
89,1,1
86,1,1
90,1,1
11,1,1
42,0,1
5,1,1
51,2,1
105,0,1
76,1,0
74,1,0
26,2,1
37,1,1
78,0,1
28,1,1
4,0,1
40,2,1
38,0,0
111,0,1
113,1,1
108,1,1
10,2,1
104,0,1
4,1,1
24,2,1
87,1,1
60,2,1
19,0,1
22,0,1
23,0,1
38,1,1
35,1,1
14,2,1
96,1,1
12,2,1
68,2,1
99,0,1
70,2,1
55,0,1
31,1,1
101,0,1
39,2,0
97,1,1
25,2,1
109,0,0
112,0,0
110,0,1
71,0,0
20,0,0
105,1,1
79,2,0
81,2,0
65,2,1
73,2,1
20,1,1
36,0,1
92,1,1
15,2,1
3,2,1
88,2,1
7,0,1
8,2,0
75,2,1
32,1,1
53,2,1
48,2,1
59,2,1
2,2,1
41,1,1
33,2,0
52,2,0
23,1,1
13,2,1
43,2,1
47,2,1
46,2,1
17,3,1
30,0,0
98,0,0
108,2,1
25,3,1
84,2,1
1,2,1
85,2,1
51,3,1
15,3,0
93,2,0
61,2,1
0,2,1
107,0,0
110,1,1
10,3,1
6,2,1
24,3,1
9,2,1
89,2,1
90,2,1
16,2,1
113,2,1
96,0,1
18,2,0
40,3,1
106,1,0
77,2,1
37,0,1
44,2,1
91,1,0
50,2,1
102,1,0
69,2,1
67,2,1
42,2,1
14,3,1
4,2,1
7,2,1
71,2,0
27,2,1
56,2,1
82,2,0
101,1,1
30,1,1
57,2,1
50,3,1
30,2,1
49,2,1
2,3,1
66,2,1
29,1,0
34,2,1
31,2,1
95,1,1
97,2,1
65,3,1
103,0,1
86,2,1
11,2,1
11,3,1
29,2,1
41,2,0
64,2,1
62,2,1
18,3,0
67,3,1
47,3,1
43,3,1
57,3,1
45,2,1
73,3,1
68,3,1
22,2,0
83,2,1
48,3,1
112,1,0
1,3,1
61,3,1
58,2,1
96,2,1
60,3,1
23,2,1
34,3,0
44,3,1
88,3,1
100,0,0
90,3,1
53,3,1
111,1,1
87,2,1
94,2,1
42,3,0
52,3,1
12,3,1
77,3,1
74,2,1
63,2,1
95,2,1
100,1,0
78,2,1
110,2,1
5,3,1
36,3,0
16,3,1
107,1,0
98,1,1
9,3,1
13,3,1
106,2,1
99,1,1
26,3,1
3,3,1
59,3,0
5,2,1
4,3,1
33,3,0
113,3,1
0,3,1
69,3,1
8,3,0
39,3,1
21,2,1
72,2,1
55,2,1
103,1,1
75,3,1
62,3,1
92,2,1
20,2,1
80,2,1
91,2,0
70,3,1
7,3,1
28,2,1
93,3,0
32,3,1
55,3,0
85,3,1
19,2,1
109,2,1
22,3,1
36,2,1
35,3,0
54,2,1
45,3,1
64,3,1
6,3,1
41,3,0
38,2,1
76,2,1
81,3,1
84,3,1
54,3,0
56,3,1
35,2,1
58,3,1
32,2,1
46,3,1
31,3,1
89,3,1
37,2,1
29,3,1
104,1,1
96,3,1
108,3,1
66,3,1
92,3,0
87,3,1
100,2,1
83,3,1
27,3,1
110,3,1
107,2,0
78,3,1
49,3,0
20,3,0
112,3,0
112,2,0
28,3,1
97,3,1
104,2,1
98,2,1
109,1,0
100,3,1
74,3,1
111,2,1
103,2,1
71,3,0
86,3,1
101,2,0
79,3,1
72,3,1
80,3,1
99,2,0
94,3,1
105,2,0
82,3,0
63,3,1
102,2,1
111,3,1
21,3,0
106,3,1
109,3,0
102,3,1
95,3,1
38,3,1
103,3,1
107,3,0
101,3,1
30,3,1
105,3,1
37,3,1
23,3,1
76,3,1
19,3,1
104,3,1
91,3,0
99,3,0
98,3,1
